timegaps,serial,thread1,thread2,thread4,thread8
8,,0.0260397,0.0184099,0.0124022,0.03684
10,,0.0264634,0.0305911,0.019665,0.0407927
15,,0.047997,0.0722985,0.0545383,0.0410515

