timegaps,serial,thread1,thread2,thread4,thread8
8,,0.0215302,0.01271,0.0138802,0.0258432
10,,0.0269638,0.0246513,0.0279936,0.0232591
15,,0.0489333,0.0592228,0.0453391,0.0433831

