timegaps,serial,thread1,thread2,thread4,thread8
8,,0.0155474,0.00821962,0.00960521,0.00718436
10,,0.0265068,0.0181756,0.0132255,0.0109821
15,,0.0363113,0.0242781,0.0248305,0.0195161

