timegaps,serial,thread1,thread2,thread4,thread8
8,,0.0179507,0.0155974,0.0102547,0.0401236
10,,0.0225348,0.0230371,0.033398,0.0323819
15,,0.0368756,0.0249611,0.0282728,0.0382655

