timegaps,serial,thread1,thread2,thread4,thread8
8,,0.00539335,0.00243454,0.00254583,0.0121445
10,,0.00453071,0.00276894,0.0132633,0.013786
15,,0.00558551,0.00654547,0.0139319,0.0267757

